,anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme
660,877,Nana,Nana,NANA [ナナ],,https://myanimelist.cdn-dena.com/images/anime/2/11232.jpg,TV,Manga,47,Finished Airing,False,"Apr 5, 2006 to Mar 28, 2007","{'from': '2006-04-05', 'to': '2007-03-28'}",23 min. per ep.,R+ - Mild Nudity,8.51,108693,101.0,262,262266,12291,"Nana was also adapted into two successful live action films in 2006, starring Mika Nakashima and Aoi Miyazaki. The manga won the Shogakukan Manga Award for shoujo and it sold more than 40 million copies to this date.",Spring 2006,Unknown,"{'Adaptation': [{'mal_id': 28, 'type': 'manga', 'url': 'https://myanimelist.net/manga/28/Nana', 'title': 'Nana'}], 'Summary': [{'mal_id': 1869, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1869/Nana_Recaps', 'title': 'Nana Recaps'}]}","VAP, Nippon Television Network, Shueisha",Viz Media,Madhouse,"Music, Slice of Life, Comedy, Drama, Romance, Shoujo","['#1: ""Rose"" by Anna inspi&#039; Nana ~Black Stones~ (eps 1-21)', '#2: ""Wish"" by Olivia inspi&#039; Reira ~Trapnest~ (eps 22-36)', '#3: ""Lucy"" by Tsuchiya, Anna inspi&#039; Nana ~Black Stones~ (eps 37-47)']","['#1: ""A Little Pain"" by Olivia inspi&#039; Reira ~Trapnest~ (eps 01-08, 10-18, 41 (for TV broadcast))', '#2: ""Rose"" by Anna inspi&#039; Nana ~Black Stones~ (ep 9 (for TV broadcast and DVD))', '#3: ""Starless Night"" by Olivia inspi&#039; Reira ~Trapnest~ (eps 19-29, 42 (for TV broadcast), DVD: eps 01-08, 10-29, 41-42)', '#4: ""Kuroi Namida"" by Anna inspi&#039; Nana ~Black Stones~ (eps 30-40, 47 (for TV broadcast and DVD))', '#5: ""Winter Sleep"" by Olivia inspi&#039; Reira ~Trapnest~ (eps 43-44 (for TV broadcast and DVD))', '#6: ""Stand By Me"" by Tsuchiya, Anna inspi&#039; Nana ~Black Stones~ (eps 45-46 (for TV broadcast and DVD))']"
686,2559,Romeo no Aoi Sora,Romeo and the Black Brothers,ロミオの青い空,"Sekai Meisaku Gekijou, Romeo&#039;s Blue Skies, Romio no Aoi Sora",https://myanimelist.cdn-dena.com/images/anime/4/17979.jpg,TV,Novel,33,Finished Airing,False,"Jan 15, 1995 to Dec 17, 1995","{'from': '1995-01-15', 'to': '1995-12-17'}",23 min. per ep.,PG-13 - Teens 13 or older,8.45,7943,134.0,2528,22086,318,Romeo no Aoi Sora is based on the 1941 German novel Die schwarzen Br&uuml;der by Lisa Tetzner.,Winter 1995,Sundays at 19:30 (JST),"{'Summary': [{'mal_id': 23581, 'type': 'anime', 'url': 'https://myanimelist.net/anime/23581/Romeo_no_Aoi_Sora_Specials', 'title': 'Romeo no Aoi Sora Specials'}]}",,,Nippon Animation,"Adventure, Drama, Historical, Slice of Life","['""Sora e..."" by Hiroko Kasahara']","['""Si Si Ciao -Romana no Oka de-"" by Hiroko Kasahara']"
689,33255,Saiki Kusuo no Ψ-nan (TV),The Disastrous Life of Saiki K.,斉木楠雄のΨ難,Saiki Kusuo no Psi Nan,https://myanimelist.cdn-dena.com/images/anime/11/80167.jpg,TV,Manga,120,Finished Airing,False,"Jul 4, 2016 to Dec 26, 2016","{'from': '2016-07-04', 'to': '2016-12-26'}",5 min. per ep.,PG-13 - Teens 13 or older,8.56,59498,79.0,580,144096,2969," Saiki Kusuo no &Psi;-nan aired weekly from Monday to Friday short 5 minute episodes in the morning block until November 4, 2016. A full episode every Sunday night followed the morning block short, but later became the main broadcast time. ",Summer 2016,Not scheduled once per week,"{'Adaptation': [{'mal_id': 37755, 'type': 'manga', 'url': 'https://myanimelist.net/manga/37755/Saiki_Kusuo_no_Ψ-nan', 'title': 'Saiki Kusuo no Ψ-nan'}], 'Other': [{'mal_id': 19469, 'type': 'anime', 'url': 'https://myanimelist.net/anime/19469/Saiki_Kusuo_no_Ψ-nan', 'title': 'Saiki Kusuo no Ψ-nan'}], 'Sequel': [{'mal_id': 34612, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_TV_2', 'title': 'Saiki Kusuo no Ψ-nan (TV) 2'}]}","TV Tokyo, Shogakukan Productions, Pony Canyon, Nippon Columbia, KlockWorx, Asmik Ace Entertainment, Bandai Namco Entertainment, Shueisha, Toy&#039;s Factory, Dear Stage inc.",Funimation,"J.C.Staff, Egg Firm","Slice of Life, Comedy, Supernatural, School, Shounen","['#1: ""Seishun wa Zankoku ja nai (青春は残酷じゃない)"" by Natsuki Hanae (eps 1-60)', '#2: ""Sai Ψ Sai Kouchou (最Ψ最好調！)"" by Dempagumi.inc (eps 61-120)']","['#1: ""Ψ desu I LIKE YOU"" by Dempagumi.inc', '#2: ""Kokoro (こころ)"" by Natsuki Hanae']"
699,34612,Saiki Kusuo no Ψ-nan (TV) 2,The Disastrous Life of Saiki K. 2,斉木楠雄のΨ難 2,Saiki Kusuo no Psi Nan 2,https://myanimelist.cdn-dena.com/images/anime/1961/91383.jpg,TV,Manga,24,Currently Airing,True,"Jan 17, 2018 to ?","{'from': '2018-01-17', 'to': None}",24 min. per ep.,PG-13 - Teens 13 or older,8.67,13954,52.0,1319,61570,473,,Winter 2018,Wednesdays at 01:35 (JST),"{'Adaptation': [{'mal_id': 37755, 'type': 'manga', 'url': 'https://myanimelist.net/manga/37755/Saiki_Kusuo_no_Ψ-nan', 'title': 'Saiki Kusuo no Ψ-nan'}], 'Prequel': [{'mal_id': 33255, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan_TV', 'title': 'Saiki Kusuo no Ψ-nan (TV)'}]}","TV Tokyo, Shogakukan Productions, Nippon Columbia, KlockWorx, Asmik Ace Entertainment, Bandai Namco Entertainment, Shueisha, Toy&#039;s Factory, Dear Stage inc.",,"J.C.Staff, Egg Firm","Slice of Life, Comedy, Supernatural, School, Shounen","['#1: ""Ψlent Prisoner (Ψレントプリズナー)"" by Saiki-kku Lover feat. Kusuo Saiki (Hiroshi Kamiya), Riki Nendou (Daisuke Ono), Shun Kaidou (Nobunaga Shimazaki)', '#2: ""Oteage Psychics (お手上げサイキクス)"" by Shiggy Jr.']","['#1: ""Ψ Hakkenden! (Ψ発見伝！)"" by Dempagumi.inc', '#2: ""Duet♡ShitekudaΨ (Duet♡してくだΨ)"" Saiki-kku Lover feat Kusuo Saiki (Hiroshi Kamiya), Kokomi Terushima (Ai Kakuma), Mikoto Aiura (Eri Kitamura)']"
705,2164,Dennou Coil,Den-noh Coil,電脳コイル,"Cyber Coil, Coil - A Circle of Children, Denno Coil",https://myanimelist.cdn-dena.com/images/anime/5/12844.jpg,TV,Original,26,Finished Airing,False,"May 12, 2007 to Dec 1, 2007","{'from': '2007-05-12', 'to': '2007-12-01'}",25 min. per ep.,G - All Ages,8.15,29243,367.0,902,95553,1333,One of the awards won by the series was the Seiun Award in 2008 for the Best Dramatic Presentation category. ,Spring 2007,Unknown,"{'Adaptation': [{'mal_id': 11424, 'type': 'manga', 'url': 'https://myanimelist.net/manga/11424/Dennou_Coil', 'title': 'Dennou Coil'}, {'mal_id': 25525, 'type': 'manga', 'url': 'https://myanimelist.net/manga/25525/Dennou_Coil', 'title': 'Dennou Coil'}], 'Summary': [{'mal_id': 13955, 'type': 'anime', 'url': 'https://myanimelist.net/anime/13955/Dennou_Coil_Recaps', 'title': 'Dennou Coil Recaps'}]}","Bandai Visual, NHK, Tokuma Shoten",Maiden Japan,Madhouse,"Adventure, Comedy, Drama, Mystery, Sci-Fi","['""Prism (プリズム)"" by Ayako Ikeda']","['""Sora no Kakera (空の欠片; A Fragment of the Sky)"" by Ayako Ikeda']"
723,801,Ghost in the Shell: Stand Alone Complex 2nd GIG,Ghost in the Shell: Stand Alone Complex 2nd GIG,攻殻機動隊 S.A.C. 2nd GIG,"Koukaku Kidoutai S.A.C. 2nd GIG, Ghost In The Shell S.A.C. 2nd GIG",https://myanimelist.cdn-dena.com/images/anime/11/51465.jpg,TV,Manga,26,Finished Airing,False,"Jan 1, 2004 to Jan 8, 2005","{'from': '2004-01-01', 'to': '2005-01-08'}",25 min. per ep.,R - 17+ (violence & profanity),8.55,72222,82.0,545,149392,2392,,Winter 2004,Unknown,"{'Prequel': [{'mal_id': 467, 'type': 'anime', 'url': 'https://myanimelist.net/anime/467/Ghost_in_the_Shell__Stand_Alone_Complex', 'title': 'Ghost in the Shell: Stand Alone Complex'}], 'Sequel': [{'mal_id': 1566, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1566/Ghost_in_the_Shell__Stand_Alone_Complex_-_Solid_State_Society', 'title': 'Ghost in the Shell: Stand Alone Complex - Solid State Society'}], 'Summary': [{'mal_id': 2448, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2448/Ghost_in_the_Shell__Stand_Alone_Complex_2nd_GIG_-_Individual_Eleven', 'title': 'Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven'}], 'Spin-off': [{'mal_id': 3485, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3485/Ghost_in_the_Shell__Stand_Alone_Complex_2nd_GIG_-_Tachikoma_na_Hibi', 'title': 'Ghost in the Shell: Stand Alone Complex 2nd GIG - Tachikoma na Hibi'}]}","Bandai Visual, Dentsu, Victor Entertainment, Tokuma Shoten","Bandai Entertainment, Manga Entertainment",Production I.G,"Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen","['#1: ""Rise"" by Origa', '#2: ""Christmas in the Silent Forest"" by Ilaria Graziano (Japanese Terrestrial Broadcast)']","['#1: ""Living Inside the Shell"" by Steve Conte', '#2: ""Christmas in the Silent Forest"" by Ilaria Graziano (ep 26)', '#3: ""Snyper"" by Ilaria Graziano (Japanese Terrestrial Broadcast)']"
737,5678,Kobato.,Kobato.,こばと。,,https://myanimelist.cdn-dena.com/images/anime/8/79838.jpg,TV,Manga,24,Finished Airing,False,"Oct 6, 2009 to Mar 23, 2010","{'from': '2009-10-06', 'to': '2010-03-23'}",24 min. per ep.,PG-13 - Teens 13 or older,8.06,39948,476.0,814,106541,1320,,Fall 2009,Unknown,"{'Adaptation': [{'mal_id': 118, 'type': 'manga', 'url': 'https://myanimelist.net/manga/118/Kobato', 'title': 'Kobato.'}], 'Side story': [{'mal_id': 10098, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10098/Kobato__Hajimete_no_Kobato', 'title': 'Kobato.: Hajimete no Kobato.'}]}","NHK, NHK-BS2",Sentai Filmworks,Madhouse,"Comedy, Drama, Romance, Fantasy","['""Magic Number (マジックナンバー)"" by Maaya Sakamoto']","['#01: ""Jellyfish&#039;s Confession (ジェリーフィッシュの告白)"" by Megumi Nakajima (eps 1-19)', '#02: ""Watashi ni Dekiru Koto (わたしにできること)"" by Megumi Nakajima (eps 20-23)', '#03: ""Ashita Kuru Hi (あした来る日）"" by Kobato Hanato (Kana Hanazawa) (ep 24)']"
753,16894,Kuroko no Basket 2nd Season,Kuroko&#039;s Basketball 2,黒子のバスケ,Kuroko no Basuke 2nd Season,https://myanimelist.cdn-dena.com/images/anime/9/56155.jpg,TV,Manga,25,Finished Airing,False,"Oct 6, 2013 to Mar 30, 2014","{'from': '2013-10-06', 'to': '2014-03-30'}",24 min. per ep.,PG-13 - Teens 13 or older,8.49,224182,109.0,153,351815,3575,,Fall 2013,Sundays at 01:58 (JST),"{'Adaptation': [{'mal_id': 11652, 'type': 'manga', 'url': 'https://myanimelist.net/manga/11652/Kuroko_no_Basket', 'title': 'Kuroko no Basket'}], 'Prequel': [{'mal_id': 11771, 'type': 'anime', 'url': 'https://myanimelist.net/anime/11771/Kuroko_no_Basket', 'title': 'Kuroko no Basket'}], 'Side story': [{'mal_id': 22125, 'type': 'anime', 'url': 'https://myanimelist.net/anime/22125/Kuroko_no_Basket__Mou_Ikkai_Yarimasen_ka', 'title': 'Kuroko no Basket: Mou Ikkai Yarimasen ka'}], 'Other': [{'mal_id': 22673, 'type': 'anime', 'url': 'https://myanimelist.net/anime/22673/Kuroko_no_Basket_2nd_Season_NG-shuu', 'title': 'Kuroko no Basket 2nd Season NG-shuu'}, {'mal_id': 29583, 'type': 'anime', 'url': 'https://myanimelist.net/anime/29583/Kuroko_no_Basket__Oshaberi_Demo_Shimasen_ka', 'title': 'Kuroko no Basket: Oshaberi Demo Shimasen ka'}], 'Sequel': [{'mal_id': 24415, 'type': 'anime', 'url': 'https://myanimelist.net/anime/24415/Kuroko_no_Basket_3rd_Season', 'title': 'Kuroko no Basket 3rd Season'}], 'Summary': [{'mal_id': 32870, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32870/Kuroko_no_Basket_Movie_2__Winter_Cup_-_Namida_no_Saki_e', 'title': 'Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e'}]}","Bandai Visual, Lantis, Nihon Ad Systems, Banpresto, Shueisha, BS11",,Production I.G,"Comedy, Sports, School, Shounen","['#1: ""The Other self"" by GRANRODEO (eps 1-13)', '#2: ""Hengen Jizai no Magical Star (変幻自在のマジカルスター)"" by GRANRODEO (eps 14-24)']","['#1: ""WALK"" by OLDCODEX (eps 1-13)', '#2: ""FANTASTIC TUNE"" by Kensho Ono (eps 14-24)', '#3: ""Hengen Jizai no Magical Star (変幻自在のマジカルスター)"" by GRANRODEO (ep 25)']"
834,28891,Haikyuu!! Second Season,Haikyu!! 2nd Season,ハイキュー!! セカンドシーズン,Haikyuu!! Second Season,https://myanimelist.cdn-dena.com/images/anime/9/76662.jpg,TV,Manga,25,Finished Airing,False,"Oct 4, 2015 to Mar 27, 2016","{'from': '2015-10-04', 'to': '2016-03-27'}",24 min. per ep.,PG-13 - Teens 13 or older,8.87,205597,22.0,171,333808,6571,"Haikyuu!! Second Season is the sequel to the first anime adaptation of the ongoing manga of the same name, Haikyuu!!, which was ranked in 4th place in Honya Club&#039;s prestigious &#039;Zenkoku Shotenin ga Eranda Osusume Comic&#039; ranking in 2013. Sentai Filmworks has announced their exclusive licensing rights for digital and home release in North America.",Fall 2015,Sundays at 02:58 (JST),"{'Adaptation': [{'mal_id': 35243, 'type': 'manga', 'url': 'https://myanimelist.net/manga/35243/Haikyuu', 'title': 'Haikyuu!!'}], 'Prequel': [{'mal_id': 20583, 'type': 'anime', 'url': 'https://myanimelist.net/anime/20583/Haikyuu', 'title': 'Haikyuu!!'}], 'Sequel': [{'mal_id': 32935, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_VS_Shiratorizawa_Gakuen_Koukou', 'title': 'Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou'}], 'Summary': [{'mal_id': 35110, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35110/Haikyuu_Movie_3__Sainou_to_Sense', 'title': 'Haikyuu!! Movie 3: Sainou to Sense'}, {'mal_id': 35321, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35321/Haikyuu__Tokushuu_Haru-kou_Volley_ni_Kaketa_Seishun', 'title': 'Haikyuu!!: Tokushuu! Haru-kou Volley ni Kaketa Seishun'}], 'Side story': [{'mal_id': 35806, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35806/Haikyuu__vs_Akaten', 'title': 'Haikyuu!!: vs ""Akaten""'}]}","TOHO animation, Shueisha",Sentai Filmworks,Production I.G,"Comedy, Sports, Drama, School, Shounen","['#1: ""I&#039;m A Believer (アイム・ア・ビリーバー)"" by SPYAIR (eps 1-13)', '#2: ""FLY HIGH!!"" by BURNOUT SYNDROMES (eps 14-25)']","['#1: ""Climber (クライマー)"" by Galileo Galilei (eps 1-13)', '#2: ""Hatsunetsu (発熱)"" by tacica  (eps 14-25)']"
885,523,Tonari no Totoro,My Neighbor Totoro,となりのトトロ,My Neighbour Totoro,https://myanimelist.cdn-dena.com/images/anime/4/75923.jpg,Movie,Original,1,Finished Airing,False,"Apr 16, 1988","{'from': '1988-04-16', 'to': '1988-04-16'}",1 hr. 26 min.,G - All Ages,8.45,262204,135.0,118,404788,4194,"In 1988, Tonari no Totoro won the Best Film and Ofuji Noburo awards in the Mainichi Film Awards, the Special Award in the 31st Blue Ribbon Awards, the Grand Prix in the Animage Anime Awards, and the Best Film and Reader&#039;s Choice Award: Best Japanese Film awards in the Kinema Junpo Awards.",,,"{'Spin-off': [{'mal_id': 2488, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2488/Mei_to_Koneko_Bus', 'title': 'Mei to Koneko Bus'}]}",Studio Fantasia,"Walt Disney Studios, GKIDS",Studio Ghibli,"Adventure, Comedy, Supernatural","['""Sanpo (さんぽ; Stroll)"" by Azumi Inoue']","['""Tonari no Totoro (となりのトトロ; My Neighbor Totoro)"" by Azumi Inoue']"
905,1142,Hachimitsu to Clover II,Honey and Clover II,ハチミツとクローバー II,"Honey and Clover 2, Honey & Clover II",https://myanimelist.cdn-dena.com/images/anime/6/11040.jpg,TV,Manga,12,Finished Airing,False,"Jun 30, 2006 to Sep 15, 2006","{'from': '2006-06-30', 'to': '2006-09-15'}",23 min. per ep.,PG-13 - Teens 13 or older,8.34,38439,199.0,1148,71737,858,Hachimitsu to Clover II aired on Fuji Television&#039;s noitaminA block.,Summer 2006,Fridays at 00:45 (JST),"{'Adaptation': [{'mal_id': 1009, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1009/Hachimitsu_to_Clover', 'title': 'Hachimitsu to Clover'}], 'Prequel': [{'mal_id': 16, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16/Hachimitsu_to_Clover', 'title': 'Hachimitsu to Clover'}, {'mal_id': 644, 'type': 'anime', 'url': 'https://myanimelist.net/anime/644/Hachimitsu_to_Clover_Specials', 'title': 'Hachimitsu to Clover Specials'}]}","Genco, Fuji TV, Sony Music Entertainment, Shueisha",Viz Media,J.C.Staff,"Drama, Josei, Romance, Slice of Life","['""Fugainaiya (ふがいないや)"" by YUKI']","['""Split (スプリット)"" by SuneoHair']"
915,23755,Nanatsu no Taizai,The Seven Deadly Sins,七つの大罪,Nanatsu no Taizai,https://myanimelist.cdn-dena.com/images/anime/8/65409.jpg,TV,Manga,24,Finished Airing,False,"Oct 5, 2014 to Mar 29, 2015","{'from': '2014-10-05', 'to': '2015-03-29'}",24 min. per ep.,PG-13 - Teens 13 or older,8.29,385532,251.0,52,629352,11558,"Netflix owns exclusive streaming rights to the series, all episodes were released on November 1, 2015 in both subtitled and dubbed format. Aside from the anime and manga, a video game adaptation and a few light novels also exist. ",Fall 2014,Sundays at 17:00 (JST),"{'Adaptation': [{'mal_id': 44485, 'type': 'manga', 'url': 'https://myanimelist.net/manga/44485/Nanatsu_no_Taizai', 'title': 'Nanatsu no Taizai'}], 'Side story': [{'mal_id': 30347, 'type': 'anime', 'url': 'https://myanimelist.net/anime/30347/Nanatsu_no_Taizai_OVA', 'title': 'Nanatsu no Taizai OVA'}], 'Sequel': [{'mal_id': 31722, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31722/Nanatsu_no_Taizai__Seisen_no_Shirushi', 'title': 'Nanatsu no Taizai: Seisen no Shirushi'}], 'Other': [{'mal_id': 35946, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35946/Nanatsu_no_Taizai_Movie__Tenkuu_no_Torawarebito', 'title': 'Nanatsu no Taizai Movie: Tenkuu no Torawarebito'}], 'Summary': [{'mal_id': 36923, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36923/Nanatsu_no_Taizai__Imashime_no_Fukkatsu_Joshou', 'title': 'Nanatsu no Taizai: Imashime no Fukkatsu Joshou'}]}","Aniplex, Dentsu, Mainichi Broadcasting System, Kodansha, Movic",Funimation,A-1 Pictures,"Action, Adventure, Supernatural, Magic, Ecchi, Fantasy, Shounen","['#1: ""Netsujou no Spectrum (熱情のスペクトラム)"" by Ikimonogakari (eps 2-12)', '#2: ""Seven Deadly Sins"" by MAN WITH A MISSION (eps 13-23)']","['#1: ""Netsujou no Spectrum (熱情のスペクトラム)"" by Ikimono-gakari (ep 1)', '#2: ""7 -seven-"" by FLOW x GRANRODEO (eps 2-12)', '#3: ""Season"" by Alisa Takigawa (eps 13-24)']"
916,24,School Rumble,School Rumble,スクールランブル,,https://myanimelist.cdn-dena.com/images/anime/4/75488.jpg,TV,Manga,26,Finished Airing,False,"Oct 5, 2004 to Mar 29, 2005","{'from': '2004-10-05', 'to': '2005-03-29'}",23 min. per ep.,PG-13 - Teens 13 or older,8.02,101593,537.0,347,214621,4522,"Based on the manga serialized in the Weekly Shonen Magazine, drawn by Jin Kobayashi.",Fall 2004,Tuesdays at 18:00 (JST),"{'Adaptation': [{'mal_id': 160, 'type': 'manga', 'url': 'https://myanimelist.net/manga/160/School_Rumble', 'title': 'School Rumble'}], 'Side story': [{'mal_id': 517, 'type': 'anime', 'url': 'https://myanimelist.net/anime/517/School_Rumble_Ichi_Gakki_Hoshuu', 'title': 'School Rumble Ichi Gakki Hoshuu'}], 'Sequel': [{'mal_id': 846, 'type': 'anime', 'url': 'https://myanimelist.net/anime/846/School_Rumble_Ni_Gakki', 'title': 'School Rumble Ni Gakki'}]}","TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Funimation,Studio Comet,"Comedy, Romance, School, Shounen","['#1: ""Scramble"" by Yui Horie with UNSCANDAL (eps 1-24)', '#2: ""Umi no Otoko wa yo (海の男はよ)"" by Kikoukumaru&#039;s Man Chorus Group (ep 25)']","['#1: ""Onna no Ko Otoko no Ko"" by Yuko Ogura', '#2: ""Hatenkou Robo Dojibiron no Teema"" by Hiroki Takahashi', '#3: ""Hatenkou Robo Dojibiron no Tema"" by Nanba Juuzou & Dojibiron V (ep 18)', '#4: ""Scramble"" by Yui Horie with UNSCANDAL (ep 25)', '#5: ""School Rumble 4 Ever"" by Ami Koshimizu, Hitomi Nabatame, Yui Horie & Kaori Shimizu (ep 26)']"
